Author_Id,Affiliation,Latitude,Longitude,Year,Author Name,Attended_date
3460,New York University Abu Dhabi,24.5236109,54.434944,2018,Aaron R. Kaufman,2014
3461,New York University Abu Dhabi,24.5236109,54.434944,2016,Aaron R. Kaufman,2014
3462,New York University Abu Dhabi,24.5236109,54.434944,2015,Aaron R. Kaufman,2014
3463,New York University Abu Dhabi,24.5236109,54.434944,,Aaron R. Kaufman,2014
3464,New York University Abu Dhabi,24.5236109,54.434944,,Aaron R. Kaufman,2014
5107,UCSF,37.7627257,-122.4582568,2021,Aartik Sarma,2014
5108,UCSF,37.7627257,-122.4582568,2011,Aartik Sarma,2014
5109,UCSF,37.7627257,-122.4582568,2013,Aartik Sarma,2014
5110,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5111,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5112,UCSF,37.7627257,-122.4582568,2020,Aartik Sarma,2014
5113,UCSF,37.7627257,-122.4582568,2017,Aartik Sarma,2014
5114,UCSF,37.7627257,-122.4582568,2012,Aartik Sarma,2014
5115,UCSF,37.7627257,-122.4582568,2021,Aartik Sarma,2014
5116,UCSF,37.7627257,-122.4582568,2020,Aartik Sarma,2014
5117,UCSF,37.7627257,-122.4582568,2012,Aartik Sarma,2014
5118,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5119,UCSF,37.7627257,-122.4582568,2012,Aartik Sarma,2014
5120,UCSF,37.7627257,-122.4582568,2014,Aartik Sarma,2014
5121,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5122,UCSF,37.7627257,-122.4582568,2021,Aartik Sarma,2014
5123,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5124,UCSF,37.7627257,-122.4582568,2011,Aartik Sarma,2014
5125,UCSF,37.7627257,-122.4582568,2023,Aartik Sarma,2014
5126,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5127,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5128,UCSF,37.7627257,-122.4582568,2013,Aartik Sarma,2014
5129,UCSF,37.7627257,-122.4582568,2023,Aartik Sarma,2014
5130,UCSF,37.7627257,-122.4582568,2023,Aartik Sarma,2014
5131,UCSF,37.7627257,-122.4582568,2023,Aartik Sarma,2014
5132,UCSF,37.7627257,-122.4582568,2023,Aartik Sarma,2014
5133,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5134,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5135,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5136,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5137,UCSF,37.7627257,-122.4582568,2022,Aartik Sarma,2014
5138,UCSF,37.7627257,-122.4582568,2021,Aartik Sarma,2014
5139,UCSF,37.7627257,-122.4582568,2021,Aartik Sarma,2014
5140,UCSF,37.7627257,-122.4582568,2021,Aartik Sarma,2014
5141,UCSF,37.7627257,-122.4582568,2020,Aartik Sarma,2014
5142,UCSF,37.7627257,-122.4582568,2020,Aartik Sarma,2014
5143,UCSF,37.7627257,-122.4582568,2016,Aartik Sarma,2014
5144,UCSF,37.7627257,-122.4582568,2013,Aartik Sarma,2014
5145,Henry Ford Health,42.36432,-83.0764399,2018,Albert Young,2015
5146,Henry Ford Health,42.36432,-83.0764399,2020,Albert Young,2015
5147,Henry Ford Health,42.36432,-83.0764399,2021,Albert Young,2015
5148,Henry Ford Health,42.36432,-83.0764399,2021,Albert Young,2015
5149,Henry Ford Health,42.36432,-83.0764399,2018,Albert Young,2015
5150,Henry Ford Health,42.36432,-83.0764399,2017,Albert Young,2015
5151,Henry Ford Health,42.36432,-83.0764399,2021,Albert Young,2015
5152,Henry Ford Health,42.36432,-83.0764399,2021,Albert Young,2015
5153,Henry Ford Health,42.36432,-83.0764399,2017,Albert Young,2015
5154,Henry Ford Health,42.36432,-83.0764399,2019,Albert Young,2015
5155,Henry Ford Health,42.36432,-83.0764399,2019,Albert Young,2015
5156,Henry Ford Health,42.36432,-83.0764399,2021,Albert Young,2015
5157,Henry Ford Health,42.36432,-83.0764399,2020,Albert Young,2015
5158,Henry Ford Health,42.36432,-83.0764399,2018,Albert Young,2015
5159,Henry Ford Health,42.36432,-83.0764399,,Albert Young,2015
5160,Henry Ford Health,42.36432,-83.0764399,2021,Albert Young,2015
5161,Henry Ford Health,42.36432,-83.0764399,2021,Albert Young,2015
5162,Henry Ford Health,42.36432,-83.0764399,2023,Albert Young,2015
5163,Henry Ford Health,42.36432,-83.0764399,2023,Albert Young,2015
